Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region,Graduation Date,Graduate Team Location
Pearl,7P322,Female,LR,Y,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Paisley,3P322,Female,LR,B,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Prairie,1P322,Female,LR,B,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Pembroke,5P322,Male,LR,Y,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Petal,2P322,Female,LR,B,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Pria,4P322,Female,LR,B,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Primrose,6P322,Female,LR,B,10/31/2022,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,10/31/2022,Too Young to Test,,,
Puppy 7,7O322,Male,LR,B,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy 3,3O322,Female,LR,B,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy,1O322,Male,LR,B,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy 2,2O322,Male,LR,B,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy 4,4O322,Male,LR,Y,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy 5,5O322,Male,LR,Y,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Puppy 6,6O322,Female,LR,Y,10/30/2022,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,10/30/2022,Too Young to Test,,,
Nevada,9N322,Female,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Neema,5N322,Female,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nutella,2N322,Female,LR,Y,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nettie,6N322,Female,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Neil,8N322,Male,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nathan,3N322,Male,LR,Y,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nifty,4N322,Female,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nabisco,1N322,Male,LR,Y,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Nemoy,10N322,Male,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Neutron,7N322,Male,LR,B,10/23/2022,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,10/23/2022,Too Young to Test,,,
Mission,4M322,Female,LR,Y,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Moose,5M322,Male,LR,B,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Molly,2M322,Female,LR,B,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Mocha,3M322,Female,LR,B,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Magic,6M322,Female,LR,B,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Mojo,7M322,Male,LR,B,10/20/2022,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,10/20/2022,Too Young to Test,,,
Liv,6L322,Female,LR,Y,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Lucky,5L322,Male,LR,Y,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Landon,1L322,Male,LR,Y,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Lincoln,2L322,Male,LR,B,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Lotto,3L322,Male,LR,Y,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Louisa,4L322,Female,LR,Y,10/15/2022,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,10/15/2022,Too Young to Test,,,
Kelly,3K322,Female,LR,B,10/13/2022,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,10/13/2022,Too Young to Test,,,
Kathy,1K322,Female,LR,B,10/13/2022,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,10/13/2022,Too Young to Test,,,
Knight,2K322,Male,LR,B,10/13/2022,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,10/13/2022,Too Young to Test,,,
Jett,1J322,Male,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Jayla,2J322,Female,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Jubilee,4J322,Female,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Jazzy,3J322,Female,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Jones,6J322,Male,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Junior,7J322,Male,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Jamaica,8J322,Female,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Joy,5J322,Female,LR,B,10/8/2022,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,10/8/2022,Too Young to Test,,,
Iva,4I322,Female,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Iko,1I322,Male,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Irving,9I322,Male,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Isley,8I322,Female,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Iman,6I322,Female,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Ipso,3I322,Male,LR,Y,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Ives,2I322,Male,LR,Y,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Ink,5I322,Male,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Indra,7I322,Female,LR,B,10/4/2022,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,10/4/2022,Too Young to Test,,,
Homer,1H322,Male,LR,Y,9/23/2022,Promise - 2P319 - LRYF,Clay - 5C319 - LRYM,9/23/2022,Too Young to Test,,,
Hadley,3H322,Male,LR,Y,9/23/2022,Promise - 2P319 - LRYF,Clay - 5C319 - LRYM,9/23/2022,Too Young to Test,,,
Germaine,1G322,Male,LR,B,9/21/2022,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,9/21/2022,Too Young to Test,,,
Gandalf,2G322,Male,LR,Y,9/21/2022,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,9/21/2022,Too Young to Test,,,
Gerry,3G322,Male,LR,B,9/21/2022,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,9/21/2022,Too Young to Test,,,
Frito,1F322,Female,LR,Y,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Fozzy,2F322,Male,LR,Y,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Farley,8F322,Male,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Fiat,9F322,Female,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Frisco,3F322,Male,LR,Y,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Fajita,7F322,Female,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Fletch,10F322,Male,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Festiva,4F322,Female,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Fuji,5F322,Female,LR,B,9/13/2022,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,9/13/2022,Too Young to Test,,,
Everest,2E322,Male,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Ellie,4E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Echo,5E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Eclair,6E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Elias,3E322,Male,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Edsel,1E322,Male,LR,B,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Dennison,2D322,Male,LR,B,9/10/2022,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,9/10/2022,Too Young to Test,,,
Dutch,1D322,Male,LR,B,9/10/2022,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,9/10/2022,Too Young to Test,,,
Baja,4B322,Female,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/25/2022,Ready for Puppy Raiser,,,
Brindy,5B322,Female,LR,B,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/25/2022,Ready for Puppy Raiser,,,
Cara,2C322,Female,LR,B,8/31/2022,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,10/29/2022,Puppy Raising,Southwestern VT Puppy Raising Region,,
Bingo,2B322,Male,LR,BRIN,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/30/2022,Puppy Raising,North Carolina Puppy Raising Region,,
Char,1C322,Female,LR,B,8/31/2022,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,10/27/2022,Ready for Puppy Raiser,,,
Bean,1B322,Female,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/30/2022,Puppy Raising,NoVA- South Puppy Raising Region,,
Bruno,8B322,Male,LR,B,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/30/2022,Puppy Raising,NoVA- North Puppy Raising Region,,
Barney,3B322,Male,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,10/24/2022,Ready for Puppy Raiser,,,
