Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region,Graduation Date,Graduate Team Location
Everest,2E322,Male,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Ellie,4E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Echo,5E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Eclaire,6E322,Female,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Elias,3E322,Male,LR,Y,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Edsel,1E322,Male,LR,B,9/12/2022,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,9/12/2022,Too Young to Test,,,
Dennison,2D322,Male,LR,B,9/10/2022,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,9/10/2022,Too Young to Test,,,
Dutch,1D322,Male,LR,B,9/10/2022,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,9/10/2022,Too Young to Test,,,
Baja,4B322,Female,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Brindy,5B322,Female,LR,B,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Chorus,2C322,Female,LR,B,8/31/2022,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,8/31/2022,Too Young to Test,,,
Bingo,2B322,Male,LR,BRIN,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Choir,1C322,Female,LR,B,8/31/2022,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,8/31/2022,Too Young to Test,,,
Boots,1B322,Female,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Bruno,8B322,Male,LR,B,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Barney,3B322,Male,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Boston,6B322,Male,LR,B,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Bonnet,7B322,Female,LR,Y,8/31/2022,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,8/31/2022,Too Young to Test,,,
Alfred,6A322,Male,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Arthur,7A322,Male,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Ambrosia,2A322,Female,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
A.J.,5A322,Male,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Almond,1A322,Female,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Abilene,4A322,Female,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Arizona,3A322,Female,LR,Y,8/26/2022,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,8/26/2022,Too Young to Test,,,
Yoki,4YY22,Female,LR,Y,8/24/2022,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,8/24/2022,Too Young to Test,,,
Yasmine,3YY22,Female,LR,Y,8/24/2022,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,8/24/2022,Too Young to Test,,,
Yola,1YY22,Female,LR,B,8/24/2022,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,8/24/2022,Too Young to Test,,,
Yorkshire,2YY22,Male,LR,Y,8/24/2022,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,8/24/2022,Too Young to Test,,,
Waylee,9WW22,Female,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
William,10WW22,Male,LR,Y,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Wayne,6WW22,Male,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Walter,3WW22,Male,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Wind,4WW22,Female,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Wyatt,5WW22,Male,LR,Y,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Winslow,1WW22,Male,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Wendell,7WW22,Male,LR,B,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Whispy,2WW22,Female,LR,Y,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Wilbur,8WW22,Male,LR,Y,8/20/2022,Liza - 5L318 - LRBF,Everett - 1E419 - LRYM,8/20/2022,Too Young to Test,,,
Viera,1VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Vega,2VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Vogue,5VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Villa,3VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Viggo,8VV22,Male,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Victoria,4VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Visa,7VV22,Female,LR,Y,8/6/2022,Bianca - P - 5B317 - LRYF,Clay - 5C319 - LRYM,8/6/2022,Too Young to Test,,,
Tremaine,5TT22,Male,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Trinket,8TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Tricia,6TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Tammy,9TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Tory,2TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Tina,1TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Tanya,3TT22,Female,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Timothy,4TT22,Male,LR,B,8/3/2022,Winter - 1W18 - LRBF,Dover - 3D19 - LRBM,8/3/2022,Too Young to Test,,,
Springsteen,1SS22,Male,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Savannah,2SS22,Female,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Star,3SS22,Female,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Santana,5SS22,Male,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Splash,6SS22,Female,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
Sprinkles,7SS22,Female,LR,B,7/29/2022,Minka - 6MM17 - LRBF,Darren - 4D20 - LRBM,7/29/2022,Too Young to Test,,,
