,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status,Region,Pass_Fail
76,Priscilla,5PP22,Female,LR,B,2022-07-19,Zelda - 1Z319 - LRBF,Gerald - 7G20 - LRYM,2022-09-12,Released,,False
80,Nana,4NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-08-29,Released,,False
84,Nifty,5NN22,Female,LR,B,2022-07-05,Madeline - 7M20 - LRYF,Odin - 5OO19 - LRBM,2022-08-29,Released,,False
90,Moana (Dugan),1MM22,Female,LR,B,2022-07-02,Dawn - 1DD20 - LRYF,Dover - 3D19 - LRBM,2022-08-25,Released,,False
95,Leone,2LL22,Male,LR,B,2022-06-21,Via - 6VV18 - LRBF,Elrod - 6E319 - LRBM,2022-08-15,Released,,False
101,Keoki (Kaelynn),9KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-17,Other School,,True
104,Kiara (Kara),2KK22,Female,GS,B&T,2022-06-18,Mittzy - 2M318 - GSB&TF,Usher TSE - USHER - GSB&TM *NOP*,2022-08-17,Other School,,True
111,Joy (Keeva),2JJ22,Female,LR,B,2022-06-16,Dakota - 4D419 - LRYF,Odin - 5OO19 - LRBM,2022-08-09,Released,,False
115,Puppy 4,4N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
116,Puppy 7,7N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
117,Puppy 8,8N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
118,Puppy 6,6N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
119,Puppy 5,5N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
120,Puppy 9,9N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
121,Puppy 1,1N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
122,Puppy 2,2N01263,Male,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
123,Puppy 3,3N01263,Female,LR,Y,2022-06-13,Ulani (Shanna) - 6UU20 - LRYF *NOP*,Garcia - 4G16 - LRYM,2022-06-16,Other School,,True
130,Gru,1GG22,Male,GS,B&T,2022-06-06,Kindra - 3K319 - GSB&TF,Neil - P - 6N417 - GSB&TM,2022-07-13,Released,,False
131,Finney,7FF22,Male,LR,B,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,,True
134,Frisco,3FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-08,Other School,,True
137,Fargo (Finnick),1FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-02,Released,,False
138,Frito,2FF22,Female,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,,True
139,Frazier,10FF22,Male,LR,Y,2022-06-01,Capri - 2C17 - LRBF,Kisco - 6KK18 - LRYM,2022-08-10,Other School,,True
143,Esther,6EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-12,Released,,False
148,Eliza (Bodhi),2EE22,Female,LR,B,2022-05-17,MacKenzie - S - 2M18 - LRYF,Darren - 4D20 - LRBM,2022-07-11,Released,,False
149,Gaia,1N01267,Female,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-07-14,Other School,,True
150,Monsoon,1N01268,Male,LR,Y,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,,True
151,Natty CDC F1,2N01268,Female,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,,True
152,Nugget CDC M1,5N01268,Male,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,,True
153,Casey NEADS,2N01267,Male,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
154,Neo CDC M2,3N01268,Male,LR,Y,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,,True
155,Dakota NEADS,4N01267,Female,LR,Y,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
156,Minnie NEADS,6N01267,Female,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
157,Apollo NEADS,5N01267,Male,LR,B,2022-05-16,Sabrina (Charity 2041) - 8S20 - LRBF *NOP*,Everett - 1E419 - LRYM,2022-09-08,Other School,,True
158,Novah CDC F2,4N01268,Female,LR,B,2022-05-16,Breeze - 9B319 - LRYF *NOP*,Perry - 1P319 - LRBM,2022-09-08,Other School,,True
