,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire,Current Status Date,Status
0,Pearl,7P322,Female,LR,Y,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
1,Paisley,3P322,Female,LR,B,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
2,Prairie,1P322,Female,LR,B,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
3,Pembroke,5P322,Male,LR,Y,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
4,Petal,2P322,Female,LR,B,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
5,Pria,4P322,Female,LR,B,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
6,Primrose,6P322,Female,LR,B,2022-10-31,Orchid - 6O417 - LRYF,Elton - 4EE20 - LRBM,2022-10-31,Too Young to Test
7,Puppy 7,7O322,Male,LR,B,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
8,Puppy 3,3O322,Female,LR,B,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
9,Puppy,1O322,Male,LR,B,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
10,Puppy 2,2O322,Male,LR,B,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
11,Puppy 4,4O322,Male,LR,Y,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
12,Puppy 5,5O322,Male,LR,Y,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
13,Puppy 6,6O322,Female,LR,Y,2022-10-30,Terri - 3T18 - LRBF,Baron - 4B20 - LRBM,2022-10-30,Too Young to Test
14,Nevada,9N322,Female,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
15,Neema,5N322,Female,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
16,Nutella,2N322,Female,LR,Y,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
17,Nettie,6N322,Female,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
18,Neil,8N322,Male,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
19,Nathan,3N322,Male,LR,Y,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
20,Nifty,4N322,Female,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
21,Nabisco,1N322,Male,LR,Y,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
22,Nemoy,10N322,Male,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
23,Neutron,7N322,Male,LR,B,2022-10-23,Quail - 6Q417 - LRBF,Baron - 4B20 - LRBM,2022-10-23,Too Young to Test
24,Mission,4M322,Female,LR,Y,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
25,Moose,5M322,Male,LR,B,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
26,Molly,2M322,Female,LR,B,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
27,Mocha,3M322,Female,LR,B,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
28,Magic,6M322,Female,LR,B,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
29,Mojo,7M322,Male,LR,B,2022-10-20,Ona - 6O19 - LRBF,Clay - 5C319 - LRYM,2022-10-20,Too Young to Test
30,Liv,6L322,Female,LR,Y,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
31,Lucky,5L322,Male,LR,Y,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
32,Landon,1L322,Male,LR,Y,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
33,Lincoln,2L322,Male,LR,B,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
34,Lotto,3L322,Male,LR,Y,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
35,Louisa,4L322,Female,LR,Y,2022-10-15,Ellen - 7EE20 - LRBF,Yarmouth - 2YY18 - LRYM,2022-10-15,Too Young to Test
36,Kelly,3K322,Female,LR,B,2022-10-13,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,2022-10-13,Too Young to Test
37,Kathy,1K322,Female,LR,B,2022-10-13,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,2022-10-13,Too Young to Test
38,Knight,2K322,Male,LR,B,2022-10-13,Cammie - 3C418 - LRBF,Denny - 8D21 - LRBM,2022-10-13,Too Young to Test
39,Jett,1J322,Male,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
40,Jayla,2J322,Female,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
41,Jubilee,4J322,Female,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
42,Jazzy,3J322,Female,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
43,Jones,6J322,Male,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
44,Junior,7J322,Male,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
45,Jamaica,8J322,Female,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
46,Joy,5J322,Female,LR,B,2022-10-08,Oksana - 6OO19 - LRBF,Nash - 1N319 - LRYM,2022-10-08,Too Young to Test
47,Iva,4I322,Female,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
48,Iko,1I322,Male,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
49,Irving,9I322,Male,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
50,Isley,8I322,Female,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
51,Iman,6I322,Female,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
52,Ipso,3I322,Male,LR,Y,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
53,Ives,2I322,Male,LR,Y,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
54,Ink,5I322,Male,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
55,Indra,7I322,Female,LR,B,2022-10-04,Edna - S - 1EE17 - LRBF,Ralphie - 3R20 - LRBM,2022-10-04,Too Young to Test
56,Homer,1H322,Male,LR,Y,2022-09-23,Promise - 2P319 - LRYF,Clay - 5C319 - LRYM,2022-09-23,Too Young to Test
57,Hadley,3H322,Male,LR,Y,2022-09-23,Promise - 2P319 - LRYF,Clay - 5C319 - LRYM,2022-09-23,Too Young to Test
58,Germaine,1G322,Male,LR,B,2022-09-21,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-09-21,Too Young to Test
59,Gandalf,2G322,Male,LR,Y,2022-09-21,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-09-21,Too Young to Test
60,Gerry,3G322,Male,LR,B,2022-09-21,Oriana - 2O317 - LRYF,Felix TSE - FELIX - LRBM *NOP*,2022-09-21,Too Young to Test
61,Frito,1F322,Female,LR,Y,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
62,Fozzy,2F322,Male,LR,Y,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
63,Farley,8F322,Male,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
64,Fiat,9F322,Female,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
65,Frisco,3F322,Male,LR,Y,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
66,Fajita,7F322,Female,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
67,Fletch,10F322,Male,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
68,Festiva,4F322,Female,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
69,Fuji,5F322,Female,LR,B,2022-09-13,Gibby - 2G19 - LRBF,Elton - 4EE20 - LRBM,2022-09-13,Too Young to Test
70,Everest,2E322,Male,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
71,Ellie,4E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
72,Echo,5E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test
