,Dog Name,Tattoo,Gender,Breed,Color,Birthdate,Dam,Sire ,Current Status Date,Status,Region
0,Everest,2E322,Male,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
1,Ellie,4E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
2,Echo,5E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
3,Eclaire,6E322,Female,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
4,Elias,3E322,Male,LR,Y,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
5,Edsel,1E322,Male,LR,B,2022-09-12,Locket - 10L318 - LRBF,Everett - 1E419 - LRYM,2022-09-12,Too Young to Test,
6,Dennison,2D322,Male,LR,B,2022-09-10,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,2022-09-10,Too Young to Test,
7,Dutch,1D322,Male,LR,B,2022-09-10,Quay - 4QQ19 - LRBF,Denny - 8D21 - LRBM,2022-09-10,Too Young to Test,
8,Baja,4B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
9,Brindy,5B322,Female,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
10,Chorus,2C322,Female,LR,B,2022-08-31,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,2022-08-31,Too Young to Test,
11,Bingo,2B322,Male,LR,BRIN,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
12,Choir,1C322,Female,LR,B,2022-08-31,Dusk - 7D418 - LRBF,Perry - 1P319 - LRBM,2022-08-31,Too Young to Test,
13,Boots,1B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
14,Bruno,8B322,Male,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
15,Barney,3B322,Male,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
16,Boston,6B322,Male,LR,B,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
17,Bonnet,7B322,Female,LR,Y,2022-08-31,Helen - 3HH19 - LRYF,Dover - 3D19 - LRBM,2022-08-31,Too Young to Test,
18,Alfred,6A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
19,Arthur,7A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
20,Ambrosia,2A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
21,A.J.,5A322,Male,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
22,Almond,1A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
23,Abilene,4A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
24,Arizona,3A322,Female,LR,Y,2022-08-26,Demi - 5D319 - LRYF,Clay - 5C319 - LRYM,2022-08-26,Too Young to Test,
25,Yoki,4YY22,Female,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-08-24,Too Young to Test,
26,Yasmine,3YY22,Female,LR,Y,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-08-24,Too Young to Test,
27,Yola,1YY22,Female,LR,B,2022-08-24,Lava - 4L417 - LRBF,Midnight - 4M19 - LRBM,2022-08-24,Too Young to Test,
